                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
-----------------------    ---------------------    --------------------
1 Jul 2020 10:00:00.000             00:00:00.000                0.000000
1 Jul 2020 10:00:10.000             00:00:00.000                0.000000
1 Jul 2020 10:00:20.000             00:00:00.000                0.000000
1 Jul 2020 10:00:30.000             00:00:00.000                0.000000
1 Jul 2020 10:00:40.000             00:00:00.000                0.000000
1 Jul 2020 10:00:50.000             00:00:00.000                0.000000
1 Jul 2020 10:01:00.000             00:00:00.000                0.000000
1 Jul 2020 10:01:10.000             00:00:00.000                0.000000
1 Jul 2020 10:01:20.000             00:00:00.000                0.000000
1 Jul 2020 10:01:30.000             00:00:00.000                0.000000
1 Jul 2020 10:01:40.000             00:00:00.000                0.000000
1 Jul 2020 10:01:50.000             00:00:00.000                0.000000
1 Jul 2020 10:02:00.000             00:00:00.000                0.000000
1 Jul 2020 10:02:10.000             00:00:00.000                0.000000
1 Jul 2020 10:02:20.000             00:00:00.000                0.000000
1 Jul 2020 10:02:30.000             00:00:00.000                0.000000
1 Jul 2020 10:02:40.000             00:00:00.000                0.000000
1 Jul 2020 10:02:50.000             00:00:00.000                0.000000
1 Jul 2020 10:03:00.000             00:00:00.000                0.000000
1 Jul 2020 10:03:10.000             00:00:00.000                0.000000
1 Jul 2020 10:03:20.000             00:00:00.000                0.000000
1 Jul 2020 10:03:30.000             00:00:00.000                0.000000
1 Jul 2020 10:03:40.000             00:00:00.000                0.000000
1 Jul 2020 10:03:50.000             00:00:00.000                0.000000
1 Jul 2020 10:04:00.000             00:00:00.000                0.000000
1 Jul 2020 10:04:10.000             00:00:00.000                0.000000
1 Jul 2020 10:04:20.000             00:00:00.000                0.000000
1 Jul 2020 10:04:30.000             00:00:00.000                0.000000
1 Jul 2020 10:04:40.000             00:00:00.000                0.000000
1 Jul 2020 10:04:50.000             00:00:00.000                0.000000
1 Jul 2020 10:05:00.000             00:00:00.000                0.000000
1 Jul 2020 10:05:10.000             00:00:00.000                0.000000
1 Jul 2020 10:05:20.000             00:00:00.000                0.000000
1 Jul 2020 10:05:30.000             00:00:00.000                0.000000
1 Jul 2020 10:05:40.000             00:00:00.000                0.000000
1 Jul 2020 10:05:50.000             00:00:00.000                0.000000
1 Jul 2020 10:06:00.000             00:00:00.000                0.000000
1 Jul 2020 10:06:10.000             00:00:00.000                0.000000
1 Jul 2020 10:06:20.000             00:00:00.000                0.000000
1 Jul 2020 10:06:30.000             00:00:00.000                0.000000
1 Jul 2020 10:06:40.000             00:00:00.000                0.000000
1 Jul 2020 10:06:50.000             00:00:00.000                0.000000
1 Jul 2020 10:07:00.000             00:00:00.000                0.000000
1 Jul 2020 10:07:10.000             00:00:00.000                0.000000
1 Jul 2020 10:07:20.000             00:00:00.000                0.000000
1 Jul 2020 10:07:30.000             00:00:00.000                0.000000
1 Jul 2020 10:07:40.000             00:00:00.000                0.000000
1 Jul 2020 10:07:50.000             00:00:00.000                0.000000
1 Jul 2020 10:08:00.000             00:00:00.000                0.000000
1 Jul 2020 10:08:10.000             00:00:00.000                0.000000
1 Jul 2020 10:08:20.000             00:00:00.000                0.000000
1 Jul 2020 10:08:30.000             00:00:00.000                0.000000
1 Jul 2020 10:08:40.000             00:00:00.000                0.000000
1 Jul 2020 10:08:50.000             00:00:00.000                0.000000
1 Jul 2020 10:09:00.000             00:00:00.000                0.000000
1 Jul 2020 10:09:10.000             00:00:00.000                0.000000
1 Jul 2020 10:09:20.000             00:00:00.000                0.000000
1 Jul 2020 10:09:30.000             00:00:00.000                0.000000
1 Jul 2020 10:09:40.000             00:00:00.000                0.000000
1 Jul 2020 10:09:50.000             00:00:00.000                0.000000
1 Jul 2020 10:10:00.000             00:00:00.000                0.000000
1 Jul 2020 10:10:10.000            -00:00:47.264               -5.000000
1 Jul 2020 10:10:20.000            -00:01:37.264               -5.000000
1 Jul 2020 10:10:30.000            -00:02:27.264               -5.000000
1 Jul 2020 10:10:40.000            -00:03:17.264               -5.000000
1 Jul 2020 10:10:50.000            -00:04:07.264               -5.000000
1 Jul 2020 10:11:00.000            -00:04:57.264               -5.000000
1 Jul 2020 10:11:10.000            -00:05:47.264               -5.000000
1 Jul 2020 10:11:20.000            -00:06:37.264               -5.000000
1 Jul 2020 10:11:30.000            -00:07:27.264               -5.000000
1 Jul 2020 10:11:40.000            -00:07:34.686                0.000000
1 Jul 2020 10:11:50.000            -00:07:34.686                0.000000
1 Jul 2020 10:12:00.000            -00:07:34.686                0.000000
1 Jul 2020 10:12:10.000            -00:07:34.686                0.000000
1 Jul 2020 10:12:20.000            -00:07:34.686                0.000000
1 Jul 2020 10:12:30.000            -00:07:34.686                0.000000
1 Jul 2020 10:12:40.000            -00:07:34.686                0.000000
1 Jul 2020 10:12:50.000            -00:07:34.686                0.000000
1 Jul 2020 10:13:00.000            -00:07:34.686                0.000000
1 Jul 2020 10:13:10.000            -00:07:34.686                0.000000
1 Jul 2020 10:13:20.000            -00:07:34.686                0.000000
1 Jul 2020 10:13:30.000            -00:07:34.686                0.000000
1 Jul 2020 10:13:40.000            -00:07:34.686                0.000000
1 Jul 2020 10:13:50.000            -00:07:34.686                0.000000
1 Jul 2020 10:14:00.000            -00:08:16.147               -5.000000
