                                                               9 Jul 2020 11:46:57
Transmitter-Transmitter


      Time (UTCG)          Consumption_integral (HMS)    Consumption_integral Rate
-----------------------    --------------------------    -------------------------
1 Jul 2020 10:00:00.000                  00:00:00.000                     0.000000
1 Jul 2020 10:00:10.000                 -00:03:49.850                   -23.000000
1 Jul 2020 10:00:20.000                 -00:07:39.850                   -23.000000
1 Jul 2020 10:00:30.000                 -00:11:29.850                   -23.000000
1 Jul 2020 10:00:40.000                 -00:15:19.850                   -23.000000
1 Jul 2020 10:00:50.000                 -00:19:09.850                   -23.000000
1 Jul 2020 10:01:00.000                 -00:22:59.850                   -23.000000
1 Jul 2020 10:01:10.000                 -00:26:49.850                   -23.000000
1 Jul 2020 10:01:20.000                 -00:30:39.850                   -23.000000
1 Jul 2020 10:01:30.000                 -00:34:29.850                   -23.000000
1 Jul 2020 10:01:40.000                 -00:38:19.850                   -23.000000
1 Jul 2020 10:01:50.000                 -00:42:09.850                   -23.000000
1 Jul 2020 10:02:00.000                 -00:45:59.850                   -23.000000
1 Jul 2020 10:02:10.000                 -00:49:49.850                   -23.000000
1 Jul 2020 10:02:20.000                 -00:53:39.850                   -23.000000
1 Jul 2020 10:02:30.000                 -00:57:29.850                   -23.000000
1 Jul 2020 10:02:40.000                 -01:01:19.850                   -23.000000
1 Jul 2020 10:02:50.000                 -01:05:09.850                   -23.000000
1 Jul 2020 10:03:00.000                 -01:08:59.850                   -23.000000
1 Jul 2020 10:03:10.000                 -01:12:49.850                   -23.000000
1 Jul 2020 10:03:20.000                 -01:16:39.850                   -23.000000
1 Jul 2020 10:03:30.000                 -01:20:29.850                   -23.000000
1 Jul 2020 10:03:40.000                 -01:24:19.850                   -23.000000
1 Jul 2020 10:03:50.000                 -01:28:09.850                   -23.000000
1 Jul 2020 10:04:00.000                 -01:31:59.850                   -23.000000
1 Jul 2020 10:04:10.000                 -01:35:49.850                   -23.000000
1 Jul 2020 10:04:20.000                 -01:39:39.850                   -23.000000
1 Jul 2020 10:04:30.000                 -01:43:29.850                   -23.000000
1 Jul 2020 10:04:40.000                 -01:47:19.850                   -23.000000
1 Jul 2020 10:04:50.000                 -01:51:09.850                   -23.000000
1 Jul 2020 10:05:00.000                 -01:54:59.850                   -23.000000
1 Jul 2020 10:05:10.000                 -01:58:49.850                   -23.000000
1 Jul 2020 10:05:20.000                 -02:02:39.850                   -23.000000
1 Jul 2020 10:05:30.000                 -02:06:29.850                   -23.000000
1 Jul 2020 10:05:40.000                 -02:10:19.850                   -23.000000
1 Jul 2020 10:05:50.000                 -02:14:09.850                   -23.000000
1 Jul 2020 10:06:00.000                 -02:17:59.850                   -23.000000
1 Jul 2020 10:06:10.000                 -02:21:49.850                   -23.000000
1 Jul 2020 10:06:20.000                 -02:25:39.850                   -23.000000
1 Jul 2020 10:06:30.000                 -02:29:29.850                   -23.000000
1 Jul 2020 10:06:40.000                 -02:33:19.850                   -23.000000
1 Jul 2020 10:06:50.000                 -02:37:09.850                   -23.000000
1 Jul 2020 10:07:00.000                 -02:40:59.850                   -23.000000
1 Jul 2020 10:07:10.000                 -02:44:49.850                   -23.000000
1 Jul 2020 10:07:20.000                 -02:48:39.850                   -23.000000
1 Jul 2020 10:07:30.000                 -02:52:29.850                   -23.000000
1 Jul 2020 10:07:40.000                 -02:56:19.850                   -23.000000
1 Jul 2020 10:07:50.000                 -03:00:09.850                   -23.000000
1 Jul 2020 10:08:00.000                 -03:03:59.850                   -23.000000
1 Jul 2020 10:08:10.000                 -03:07:49.850                   -23.000000
1 Jul 2020 10:08:20.000                 -03:11:39.850                   -23.000000
1 Jul 2020 10:08:30.000                 -03:15:29.850                   -23.000000
1 Jul 2020 10:08:40.000                 -03:19:19.850                   -23.000000
1 Jul 2020 10:08:50.000                 -03:23:09.850                   -23.000000
1 Jul 2020 10:09:00.000                 -03:26:59.850                   -23.000000
1 Jul 2020 10:09:10.000                 -03:30:49.850                   -23.000000
1 Jul 2020 10:09:20.000                 -03:34:39.850                   -23.000000
1 Jul 2020 10:09:30.000                 -03:38:29.850                   -23.000000
1 Jul 2020 10:09:40.000                 -03:42:19.850                   -23.000000
1 Jul 2020 10:09:50.000                 -03:46:09.850                   -23.000000
1 Jul 2020 10:10:00.000                 -03:49:59.850                   -23.000000
1 Jul 2020 10:10:10.000                 -03:53:49.850                   -23.000000
1 Jul 2020 10:10:20.000                 -03:57:39.850                   -23.000000
1 Jul 2020 10:10:30.000                 -04:01:29.850                   -23.000000
1 Jul 2020 10:10:40.000                 -04:05:19.850                   -23.000000
1 Jul 2020 10:10:50.000                 -04:09:09.850                   -23.000000
1 Jul 2020 10:11:00.000                 -04:12:59.850                   -23.000000
1 Jul 2020 10:11:10.000                 -04:16:49.850                   -23.000000
1 Jul 2020 10:11:20.000                 -04:20:39.850                   -23.000000
1 Jul 2020 10:11:30.000                 -04:24:29.850                   -23.000000
1 Jul 2020 10:11:40.000                 -04:28:19.850                   -23.000000
1 Jul 2020 10:11:50.000                 -04:32:09.850                   -23.000000
1 Jul 2020 10:12:00.000                 -04:35:59.850                   -23.000000
1 Jul 2020 10:12:10.000                 -04:39:49.850                   -23.000000
1 Jul 2020 10:12:20.000                 -04:43:39.850                   -23.000000
1 Jul 2020 10:12:30.000                 -04:47:29.850                   -23.000000
